# Input data: Maddison_CRU_dataset.csv
# Time-dimension bootstrap: each row is a bootstrap iteration
# Each column is a 'slot' in the resampled year set
# Values are year indices (0 to 61), mapping to years 1961-2022
iteration,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,50,15,24,56,59,57,19,52,58,60,1,46,61,47,14,47,6,29,38,28,43,14,37,39,39,17,18,15,28,36,22,25,17,13,40,50,18,53,35,10,22,0,2,20,28,49,8,52,14,8,43,48,37,7,7,24,27,61,17,11,58,9
11,59,7,47,5,20,10,10,10,2,51,3,24,43,61,52,8,61,40,11,27,56,24,11,54,59,60,59,54,28,11,38,13,29,40,58,17,15,45,0,35,46,34,23,51,23,44,28,1,32,3,57,37,23,30,38,16,17,25,16,46,6,51
12,27,26,49,39,23,57,49,57,45,24,47,20,16,27,60,35,23,28,18,40,21,34,22,19,60,21,4,23,32,5,18,10,31,44,60,24,53,13,48,34,47,46,33,15,32,51,60,57,11,37,6,41,61,3,40,58,52,24,6,57,57,35
13,22,61,29,59,40,2,12,43,33,18,32,55,24,2,19,58,47,51,56,7,17,3,0,51,58,9,44,33,4,56,54,35,43,24,49,27,61,3,10,60,17,19,49,11,31,17,12,59,12,5,41,53,7,43,33,51,7,60,38,52,22,58
14,44,39,37,3,37,60,1,29,30,55,17,29,44,3,49,50,44,40,46,48,56,26,28,39,11,53,47,39,18,21,26,41,48,41,57,59,43,22,37,26,39,50,22,31,2,45,30,28,33,13,37,46,21,8,23,12,23,38,7,46,13,55
15,38,58,26,21,61,34,38,18,13,10,13,12,46,3,39,58,47,24,3,51,0,42,41,11,45,10,13,50,60,16,57,56,47,8,18,42,61,50,26,14,59,17,21,59,34,16,0,26,61,26,43,15,48,48,37,47,35,23,45,51,52,13
16,19,31,41,31,31,36,53,24,51,48,59,56,49,15,48,45,17,42,15,32,49,11,20,49,28,59,0,44,50,56,9,61,24,21,22,39,40,29,4,61,13,5,37,25,38,54,6,17,32,48,37,23,37,60,29,54,48,18,15,47,12,20
17,59,42,40,53,54,4,54,47,12,19,46,13,28,42,40,56,6,18,61,35,15,17,21,34,17,38,27,37,9,38,57,8,20,42,38,41,34,42,37,4,46,27,3,25,26,5,61,13,20,27,51,46,47,14,52,51,28,33,2,47,59,29
18,33,52,61,27,3,14,6,47,61,34,10,1,60,19,6,10,15,40,55,17,42,4,0,3,57,36,49,1,1,52,6,9,32,37,14,27,41,27,23,4,28,49,38,55,7,0,33,11,36,56,20,34,42,9,55,12,50,40,8,44,12,37
19,33,9,27,5,41,41,53,21,19,4,25,29,46,46,8,17,31,20,1,52,45,32,19,52,2,27,49,59,15,40,11,7,21,54,42,30,17,8,16,9,11,42,8,2,33,17,28,8,13,27,42,25,33,32,16,17,26,1,42,38,18,23
20,40,22,6,52,3,35,16,13,2,55,26,21,45,2,35,30,34,7,59,14,42,46,21,8,18,50,56,58,14,37,9,44,25,44,42,61,30,21,32,10,6,32,51,33,48,11,27,38,21,0,4,57,37,16,16,2,58,6,47,14,20,16
21,21,34,23,44,16,3,20,37,11,50,0,4,31,31,18,16,4,41,23,7,24,58,16,55,16,11,16,20,7,36,20,44,30,27,29,9,44,6,44,61,47,28,19,54,15,29,47,57,57,5,55,7,36,57,40,58,21,19,20,22,42,28
22,36,37,13,19,37,18,43,2,4,45,38,2,55,0,59,45,61,58,19,46,13,29,14,30,54,27,5,20,48,32,34,26,18,37,39,55,38,61,51,4,24,23,0,11,47,21,9,17,17,10,6,47,51,30,38,56,52,2,59,4,1,25
23,34,0,18,36,12,61,60,15,24,11,31,7,24,34,37,36,13,49,42,46,29,55,24,49,12,15,32,34,46,18,54,20,33,57,33,42,56,60,30,25,12,33,56,30,21,6,24,14,60,32,8,4,52,57,47,7,6,12,46,47,51,6
24,57,54,40,32,61,34,39,13,46,50,42,30,12,2,38,42,47,58,30,51,44,17,52,3,37,58,40,58,3,33,48,39,54,28,42,26,54,7,15,5,43,14,19,51,22,9,1,14,56,34,61,13,21,10,24,34,50,22,47,38,18,56
25,45,56,30,5,22,25,58,58,35,58,27,25,51,41,32,28,43,46,30,1,6,8,28,38,49,14,48,41,3,21,18,54,57,50,32,30,19,47,5,16,8,30,18,12,23,53,34,51,56,55,21,54,56,59,21,14,36,57,55,35,9,26
26,49,50,33,1,58,24,58,53,52,42,41,33,1,24,45,50,34,43,1,29,31,55,19,14,21,10,34,39,49,60,4,15,18,15,51,8,1,53,59,14,20,31,32,61,25,0,26,34,32,31,57,50,15,22,41,25,26,10,15,45,52,48
27,52,21,33,42,46,47,20,61,0,30,37,3,27,36,37,7,17,15,39,20,35,45,49,11,56,10,1,2,12,54,12,42,25,2,27,1,29,34,32,17,47,36,15,26,6,57,46,17,41,42,37,3,54,59,60,60,57,45,3,28,15,13
28,53,38,34,26,7,23,27,57,19,9,26,61,29,23,41,40,18,60,36,3,25,57,24,35,37,43,54,9,32,33,9,41,7,28,20,9,50,15,15,52,54,2,17,43,48,61,34,0,54,9,7,41,37,3,10,36,15,42,25,36,29,22
29,46,6,38,51,39,36,28,15,17,46,4,5,24,48,40,36,33,6,20,4,47,46,16,18,19,55,30,47,27,43,32,17,54,43,47,58,15,5,36,20,27,14,24,24,21,46,36,29,6,35,10,19,25,8,24,16,52,53,0,37,39,23
