Country,Year,Temperature,Precipitation
Afghanistan,1959,12.0,382.2
Afghanistan,1960,11.9,378.8
Afghanistan,1961,12.3,356.9
Afghanistan,1962,12.0,289.8
Afghanistan,1963,12.9,365.1
Afghanistan,1964,11.3,348.5
Afghanistan,1965,12.2,394.6
Afghanistan,1966,12.5,309.5
Afghanistan,1967,11.9,395.1
Afghanistan,1968,12.0,370.8
Afghanistan,1969,11.7,390.3
Afghanistan,1970,12.8,251.4
Afghanistan,1971,12.7,210.0
Afghanistan,1972,10.8,430.7
Afghanistan,1973,12.3,298.7
Afghanistan,1974,11.5,323.4
Afghanistan,1975,11.8,348.7
Afghanistan,1976,11.8,386.8
Afghanistan,1977,12.8,324.4
Afghanistan,1978,12.4,318.9
Afghanistan,1979,12.4,364.7
Afghanistan,1980,12.7,370.8
Afghanistan,1981,12.8,379.4
Afghanistan,1982,11.7,437.9
Afghanistan,1983,12.6,330.3
Afghanistan,1984,12.0,289.9
Afghanistan,1985,12.6,258.7
Afghanistan,1986,12.1,342.4
Afghanistan,1987,12.8,333.1
Afghanistan,1988,13.2,347.3
Afghanistan,1989,12.0,337.7
Afghanistan,1990,12.9,372.4
Afghanistan,1991,12.3,444.5
Afghanistan,1992,12.1,416.8
Afghanistan,1993,12.3,343.1
Afghanistan,1994,12.6,350.3
Afghanistan,1995,12.8,324.1
Afghanistan,1996,12.3,342.9
Afghanistan,1997,12.6,344.6
Afghanistan,1998,12.9,388.9
Afghanistan,1999,13.5,329.9
Afghanistan,2000,13.3,252.0
Afghanistan,2001,13.6,243.4
Afghanistan,2002,13.4,325.2
Afghanistan,2003,12.9,359.6
Afghanistan,2004,13.6,325.7
Afghanistan,2005,13.0,388.2
Afghanistan,2006,13.4,365.0
Afghanistan,2007,13.2,333.8
Afghanistan,2008,13.1,303.4
Afghanistan,2009,13.3,406.8
Afghanistan,2010,13.7,312.3
Afghanistan,2011,13.1,334.0
Afghanistan,2012,12.7,389.7
Afghanistan,2013,13.6,383.6
Afghanistan,2014,12.8,318.5
Afghanistan,2015,13.4,425.3
Afghanistan,2016,13.9,384.2
Afghanistan,2017,13.5,320.3
Afghanistan,2018,13.7,285.9
Afghanistan,2019,13.4,409.9
Afghanistan,2020,12.8,409.2
Afghanistan,2021,14.0,242.6
Afghanistan,2022,14.1,313.5
Afghanistan,2023,14.3,301.9
Afghanistan,2024,13.9,369.4
Albania,1901,11.7,1341.1
Albania,1902,11.6,1232.8
Albania,1903,12.0,1065.7
Albania,1904,12.0,1122.7
Albania,1905,11.8,1074.0
Albania,1906,11.8,1245.0
Albania,1907,11.6,1103.2
Albania,1908,11.5,966.5
Albania,1909,11.7,1295.0
Albania,1910,12.1,1206.5
Albania,1911,12.1,1006.4
Albania,1912,11.6,1107.5
Albania,1913,11.7,1033.6
Albania,1914,11.4,1211.4
Albania,1915,12.0,1597.6
Albania,1916,12.6,1207.0
Albania,1917,11.8,1021.2
Albania,1918,11.9,1074.7
Albania,1919,11.8,1346.2
Albania,1920,12.1,986.0
Albania,1921,12.0,908.1
Albania,1922,11.7,1110.0
Albania,1923,12.6,1363.4
Albania,1924,11.8,1099.5
Albania,1925,12.1,1068.6
Albania,1926,12.7,1051.0
Albania,1927,12.9,1214.5
Albania,1928,12.3,1203.1
Albania,1929,11.5,1102.1
Albania,1930,12.6,1168.8
Albania,1931,11.9,1235.2
Albania,1932,11.9,943.1
Albania,1933,11.1,1223.7
Albania,1934,12.7,1128.6
Albania,1935,12.1,1206.2
Albania,1936,12.4,1232.3
Albania,1937,12.5,1512.3
Albania,1938,12.0,1068.1
Albania,1939,12.2,1399.1
Albania,1940,11.0,1347.2
Albania,1941,11.5,1132.7
Albania,1942,11.7,1165.5
Albania,1943,12.4,1098.5
Albania,1944,11.8,1281.0
Albania,1945,12.3,1030.3
Albania,1946,12.7,1004.3
Albania,1947,12.7,1018.7
Albania,1948,12.1,859.7
Albania,1949,12.1,1188.5
Albania,1950,13.0,1176.5
Albania,1951,12.9,1258.8
Albania,1952,12.9,1167.2
Albania,1953,11.8,1007.9
Albania,1954,11.6,1378.5
Albania,1955,12.2,1297.0
Albania,1956,11.3,1258.6
Albania,1957,12.3,1111.1
Albania,1958,12.5,1230.1
Albania,1959,11.7,1308.1
Albania,1960,12.5,1367.9
Albania,1961,12.6,947.7
Albania,1962,12.3,1323.1
Albania,1963,12.3,1354.8
Albania,1964,11.8,1136.6
Albania,1965,11.7,979.4
Albania,1966,12.5,1299.4
Albania,1967,12.1,1010.2
Albania,1968,12.2,1213.5
Albania,1969,11.9,1324.1
Albania,1970,12.0,1156.9
Albania,1971,11.8,1105.9
Albania,1972,11.9,1234.2
Albania,1973,11.8,1187.3
Albania,1974,11.9,1230.0
Albania,1975,11.9,852.5
Albania,1976,11.4,1283.4
Albania,1977,12.3,848.4
Albania,1978,11.4,1161.3
Albania,1979,12.2,1471.1
Albania,1980,11.3,1259.9
Albania,1981,11.9,1150.5
Albania,1982,12.1,1086.0
Albania,1983,11.8,1011.8
Albania,1984,11.7,1013.4
Albania,1985,12.0,1038.0
Albania,1986,12.2,1066.1
Albania,1987,11.8,1184.0
Albania,1988,12.3,920.3
Albania,1989,12.0,850.1
Albania,1990,12.5,905.4
Albania,1991,11.5,986.8
Albania,1992,12.2,884.1
Albania,1993,12.1,971.1
Albania,1994,13.2,1017.0
Albania,1995,12.0,1241.7
Albania,1996,11.7,1315.3
Albania,1997,12.0,937.1
Albania,1998,12.6,1086.3
Albania,1999,12.9,1203.2
Albania,2000,13.2,866.3
Albania,2001,12.8,879.3
Albania,2002,13.0,1151.3
Albania,2003,12.7,1098.3
Albania,2004,12.5,1139.6
Albania,2005,12.0,1176.3
Albania,2006,12.5,1104.2
Albania,2007,13.3,1133.0
Albania,2008,13.3,1101.4
Albania,2009,13.1,1429.9
Albania,2010,13.0,1469.5
Albania,2011,12.8,811.1
Albania,2012,13.3,1102.5
Albania,2013,13.3,1149.4
Albania,2014,13.5,1457.1
Albania,2015,13.4,1098.5
Albania,2016,13.3,1198.7
Albania,2017,13.2,1082.6
Albania,2018,13.9,992.5
Albania,2019,13.8,1284.4
Albania,2020,13.6,1055.6
Albania,2021,13.2,1202.4
Albania,2022,13.8,955.9
Albania,2023,14.2,1177.4
Albania,2024,14.7,1064.6
Aldabra Isl,1901,26.8,1137.0
Aldabra Isl,1902,26.9,1137.0
Aldabra Isl,1903,26.8,1137.0
Aldabra Isl,1904,26.8,1137.0
Aldabra Isl,1905,26.9,1137.0
Aldabra Isl,1906,26.7,1137.0
Aldabra Isl,1907,26.8,1129.9
Aldabra Isl,1908,26.9,1133.7
Aldabra Isl,1909,26.8,1137.0
Aldabra Isl,1910,26.7,1137.0
Aldabra Isl,1911,26.8,1137.0
Aldabra Isl,1912,26.9,1137.0
Aldabra Isl,1913,27.0,1137.0
Aldabra Isl,1914,27.0,1137.0
Aldabra Isl,1915,27.0,1137.0
Aldabra Isl,1916,26.9,1137.0
Aldabra Isl,1917,26.9,1137.0
Aldabra Isl,1918,27.0,1137.0
Aldabra Isl,1919,27.0,1137.0
Aldabra Isl,1920,27.0,1137.0
Aldabra Isl,1921,27.0,1137.0
Aldabra Isl,1922,26.9,1137.0
Aldabra Isl,1923,27.0,1137.0
Aldabra Isl,1924,27.0,1137.0
Aldabra Isl,1925,27.0,1137.0
Aldabra Isl,1926,27.0,1137.0
Aldabra Isl,1927,27.0,1137.0
Aldabra Isl,1928,27.0,1137.0
Aldabra Isl,1929,27.0,1137.0
Aldabra Isl,1930,27.0,1137.0
Aldabra Isl,1931,26.9,1137.0
Aldabra Isl,1932,26.9,1137.0
Aldabra Isl,1933,26.9,1117.5
Aldabra Isl,1934,26.9,1143.3
Aldabra Isl,1935,26.9,1125.8
Aldabra Isl,1936,27.0,1122.0
Aldabra Isl,1937,26.9,1150.6
Aldabra Isl,1938,26.9,1130.2
Aldabra Isl,1939,27.0,1136.7
Aldabra Isl,1940,26.9,1143.7
Aldabra Isl,1941,27.1,1133.0
Aldabra Isl,1942,27.1,1128.4
Aldabra Isl,1943,26.6,1131.7
Aldabra Isl,1944,27.3,1129.0
Aldabra Isl,1945,27.3,1133.2
Aldabra Isl,1946,27.1,1126.5
Aldabra Isl,1947,27.1,1132.3
Aldabra Isl,1948,27.3,1135.7
Aldabra Isl,1949,27.0,1127.8
Aldabra Isl,1950,27.1,1127.3
Aldabra Isl,1951,27.2,1131.1
Aldabra Isl,1952,27.3,1124.6
Aldabra Isl,1953,27.3,1121.8
Aldabra Isl,1954,27.2,1130.9
Aldabra Isl,1955,27.0,1135.9
Aldabra Isl,1956,26.8,1091.9
Aldabra Isl,1957,26.9,1150.1
Aldabra Isl,1958,27.3,1047.8
Aldabra Isl,1959,27.0,1093.8
Aldabra Isl,1960,26.9,995.6
Aldabra Isl,1961,27.5,1233.9
Aldabra Isl,1962,27.0,991.8
Aldabra Isl,1963,26.9,1049.8
Aldabra Isl,1964,26.7,959.9
Aldabra Isl,1965,26.7,1166.2
Aldabra Isl,1966,27.1,1032.6
Aldabra Isl,1967,27.0,1064.4
Aldabra Isl,1968,26.6,786.5
Aldabra Isl,1969,27.2,1425.4
Aldabra Isl,1970,27.1,817.6
Aldabra Isl,1971,26.4,1170.9
Aldabra Isl,1972,26.9,1118.1
Aldabra Isl,1973,26.8,1304.9
Aldabra Isl,1974,26.4,1339.2
Aldabra Isl,1975,26.6,1070.8
Aldabra Isl,1976,26.8,1347.3
Aldabra Isl,1977,27.2,1383.9
Aldabra Isl,1978,27.1,1526.6
Aldabra Isl,1979,27.1,1164.3
Aldabra Isl,1980,27.0,1025.6
Aldabra Isl,1981,26.9,1099.0
Aldabra Isl,1982,27.1,1121.3
Aldabra Isl,1983,27.1,1585.8
Aldabra Isl,1984,26.5,965.3
Aldabra Isl,1985,26.8,995.2
Aldabra Isl,1986,26.9,1090.7
Aldabra Isl,1987,27.3,1005.0
Aldabra Isl,1988,27.3,1123.3
Aldabra Isl,1989,26.7,1064.0
Aldabra Isl,1990,27.2,1082.0
Aldabra Isl,1991,27.0,1570.8
Aldabra Isl,1992,27.0,1053.6
Aldabra Isl,1993,27.0,924.8
Aldabra Isl,1994,27.2,1189.7
Aldabra Isl,1995,27.2,977.1
Aldabra Isl,1996,26.9,1091.1
Aldabra Isl,1997,27.2,832.7
Aldabra Isl,1998,27.5,877.5
Aldabra Isl,1999,27.1,954.4
Aldabra Isl,2000,27.0,992.1
Aldabra Isl,2001,27.2,967.4
Aldabra Isl,2002,27.0,1045.0
Aldabra Isl,2003,27.2,864.2
Aldabra Isl,2004,27.0,592.5
Aldabra Isl,2005,27.4,893.5
Aldabra Isl,2006,27.2,824.2
Aldabra Isl,2007,27.5,760.2
Aldabra Isl,2008,27.2,1051.1
Aldabra Isl,2009,27.6,967.4
Aldabra Isl,2010,27.6,1084.6
Aldabra Isl,2011,27.5,1049.1
Aldabra Isl,2012,27.4,1039.4
Aldabra Isl,2013,27.4,1006.2
Aldabra Isl,2014,27.4,1132.3
Aldabra Isl,2015,27.6,1137.6
Aldabra Isl,2016,27.4,947.0
Aldabra Isl,2017,27.7,1158.3
Aldabra Isl,2018,27.6,1088.3
Aldabra Isl,2019,27.8,1021.4
Aldabra Isl,2020,27.8,885.7
Aldabra Isl,2021,27.6,1043.2
Aldabra Isl,2022,27.3,1103.9
Aldabra Isl,2023,28.0,1035.8
Aldabra Isl,2024,27.8,780.2
Aleutians,1901,3.5,1085.5
Aleutians,1902,3.4,1085.5
Aleutians,1903,3.3,1085.5
Aleutians,1904,3.3,1085.5
Aleutians,1905,3.5,1085.5
Aleutians,1906,3.5,1085.5
Aleutians,1907,3.4,1085.5
Aleutians,1908,3.3,1085.5
Aleutians,1909,3.4,1085.5
Aleutians,1910,3.4,1085.5
Aleutians,1911,3.2,1085.5
Aleutians,1912,3.2,1085.5
Aleutians,1913,3.2,1085.5
Aleutians,1914,3.3,1085.5
Aleutians,1915,3.3,1091.1
Aleutians,1916,3.1,1085.3
Aleutians,1917,3.0,1089.6
Aleutians,1918,3.2,1083.4
Aleutians,1919,3.2,1083.4
Aleutians,1920,3.1,1087.4
Aleutians,1921,3.3,1087.9
Aleutians,1922,3.4,1084.4
Aleutians,1923,3.5,1087.5
Aleutians,1924,3.3,1092.5
Aleutians,1925,3.7,1091.4
Aleutians,1926,4.1,1081.1
Aleutians,1927,3.4,1081.5
Aleutians,1928,3.3,1085.4
Aleutians,1929,3.9,1091.6
Aleutians,1930,3.3,1083.4
Aleutians,1931,3.3,1087.0
Aleutians,1932,3.4,1085.3
Aleutians,1933,3.3,1080.0
Aleutians,1934,3.7,1086.0
Aleutians,1935,4.1,1087.9
Aleutians,1936,3.9,1089.6
Aleutians,1937,4.0,1086.0
Aleutians,1938,3.5,1082.1
Aleutians,1939,3.3,1077.8
Aleutians,1940,3.7,1083.2
Aleutians,1941,3.7,1083.4
Aleutians,1942,3.7,900.2
Aleutians,1943,3.1,899.3
Aleutians,1944,3.1,933.0
Aleutians,1945,3.5,844.7
Aleutians,1946,2.7,982.7
Aleutians,1947,2.9,1078.8
Aleutians,1948,3.2,1192.3
Aleutians,1949,3.2,1307.6
Aleutians,1950,3.6,1046.8
Aleutians,1951,3.8,1146.4
Aleutians,1952,3.1,1267.2
Aleutians,1953,3.1,1334.0
Aleutians,1954,2.9,1290.1
Aleutians,1955,3.1,1168.9
Aleutians,1956,2.9,1246.2
Aleutians,1957,3.9,1162.0
Aleutians,1958,3.4,1192.7
Aleutians,1959,3.3,1154.3
Aleutians,1960,3.2,921.4
Aleutians,1961,3.2,986.1
Aleutians,1962,3.8,1122.8
Aleutians,1963,3.8,1096.5
Aleutians,1964,2.8,1166.8
Aleutians,1965,3.4,1184.1
Aleutians,1966,3.2,1079.6
Aleutians,1967,3.9,1240.1
Aleutians,1968,3.4,948.0
Aleutians,1969,3.7,1128.9
Aleutians,1970,3.5,1083.1
Aleutians,1971,2.3,1127.0
Aleutians,1972,2.7,1051.5
Aleutians,1973,3.0,1055.8
Aleutians,1974,3.1,1167.8
Aleutians,1975,2.5,1139.2
Aleutians,1976,2.2,1060.9
Aleutians,1977,3.5,1041.2
Aleutians,1978,4.0,1160.1
Aleutians,1979,4.2,1254.7
Aleutians,1980,3.5,1107.1
Aleutians,1981,4.2,991.4
Aleutians,1982,3.4,1073.7
Aleutians,1983,3.9,1027.4
Aleutians,1984,3.9,1030.5
Aleutians,1985,3.7,1084.6
Aleutians,1986,4.0,1037.0
Aleutians,1987,3.4,1097.2
Aleutians,1988,3.4,998.3
Aleutians,1989,4.0,966.2
Aleutians,1990,3.8,1056.5
Aleutians,1991,3.5,1102.2
Aleutians,1992,3.0,1092.0
Aleutians,1993,3.7,1209.6
Aleutians,1994,3.4,1105.1
Aleutians,1995,4.0,970.3
Aleutians,1996,4.4,1097.1
Aleutians,1997,4.0,1084.0
Aleutians,1998,3.7,1102.2
Aleutians,1999,2.6,1099.3
Aleutians,2000,4.0,1152.1
Aleutians,2001,3.5,1112.7
Aleutians,2002,4.4,1126.2
Aleutians,2003,4.6,1086.9
Aleutians,2004,4.5,1121.2
Aleutians,2005,4.5,1087.7
Aleutians,2006,3.5,1092.2
Aleutians,2007,3.8,1110.2
Aleutians,2008,3.1,1067.2
Aleutians,2009,3.4,1100.3
Aleutians,2010,3.2,1068.9
Aleutians,2011,3.7,1092.6
Aleutians,2012,2.6,1097.2
Aleutians,2013,4.2,1114.2
Aleutians,2014,5.1,1081.3
Aleutians,2015,4.7,1096.2
Aleutians,2016,5.3,1103.4
Aleutians,2017,4.4,1087.4
Aleutians,2018,5.1,1118.0
Aleutians,2019,5.4,1124.0
Aleutians,2020,4.3,1075.6
Aleutians,2021,4.3,1112.6
Aleutians,2022,4.6,1099.0
Aleutians,2023,4.3,1098.1
Aleutians,2024,4.3,1111.3
Algeria,1901,22.6,119.3
Algeria,1902,22.6,104.8
Algeria,1903,22.5,85.8
Algeria,1904,22.6,118.6
Algeria,1905,22.4,101.3
Algeria,1906,22.4,105.7
Algeria,1907,22.4,94.2
Algeria,1908,22.5,112.5
Algeria,1909,22.4,85.6
Algeria,1910,22.4,83.2
Algeria,1911,22.5,105.4
Algeria,1912,22.5,99.6
Algeria,1913,22.6,74.2
Algeria,1914,22.5,93.2
Algeria,1915,22.4,102.5
Algeria,1916,22.5,100.0
Algeria,1917,22.3,95.8
Algeria,1918,22.3,104.0
Algeria,1919,22.4,87.2
Algeria,1920,22.6,77.1
Algeria,1921,22.5,97.8
Algeria,1922,22.5,80.6
Algeria,1923,22.4,107.8
Algeria,1924,22.7,81.1
Algeria,1925,22.3,95.1
Algeria,1926,22.9,63.7
Algeria,1927,22.7,95.4
Algeria,1928,22.7,110.8
Algeria,1929,22.5,100.0
Algeria,1930,22.8,87.6
Algeria,1931,22.8,87.8
Algeria,1932,22.4,88.0
Algeria,1933,22.6,106.9
Algeria,1934,22.4,110.0
Algeria,1935,22.6,99.9
Algeria,1936,22.6,97.1
Algeria,1937,23.0,68.0
Algeria,1938,22.6,90.8
Algeria,1939,22.5,95.9
Algeria,1940,22.7,88.3
Algeria,1941,22.8,90.1
Algeria,1942,23.0,89.5
Algeria,1943,22.9,115.9
Algeria,1944,22.7,71.3
Algeria,1945,23.0,65.4
Algeria,1946,22.9,90.2
Algeria,1947,23.1,69.8
Algeria,1948,22.9,88.9
Algeria,1949,22.9,94.5
Algeria,1950,22.7,101.2
Algeria,1951,22.8,105.6
Algeria,1952,22.8,104.0
Algeria,1953,22.6,113.9
Algeria,1954,22.4,101.6
Algeria,1955,23.2,99.9
Algeria,1956,22.3,96.9
Algeria,1957,22.5,125.0
Algeria,1958,22.9,100.0
Algeria,1959,22.8,99.5
Algeria,1960,22.8,94.2
Algeria,1961,22.9,70.1
Algeria,1962,22.7,107.2
Algeria,1963,22.7,106.0
Algeria,1964,22.7,94.8
Algeria,1965,22.6,89.5
Algeria,1966,22.7,89.1
Algeria,1967,22.6,95.4
Algeria,1968,22.7,85.8
Algeria,1969,22.7,114.9
Algeria,1970,22.7,70.2
Algeria,1971,22.3,104.0
Algeria,1972,22.3,110.5
Algeria,1973,22.5,96.9
Algeria,1974,22.3,90.9
Algeria,1975,22.4,95.2
Algeria,1976,22.2,131.1
Algeria,1977,22.7,78.9
Algeria,1978,22.7,78.1
Algeria,1979,22.9,112.1
Algeria,1980,22.7,102.3
Algeria,1981,22.9,66.6
Algeria,1982,22.9,111.6
Algeria,1983,23.1,56.9
Algeria,1984,22.7,92.0
Algeria,1985,23.0,91.1
Algeria,1986,22.8,112.1
Algeria,1987,23.3,85.3
Algeria,1988,23.0,85.8
Algeria,1989,23.1,76.0
Algeria,1990,23.3,101.7
Algeria,1991,22.6,93.8
Algeria,1992,22.6,99.0
Algeria,1993,22.8,71.0
Algeria,1994,23.2,91.3
Algeria,1995,23.3,90.7
Algeria,1996,23.0,107.7
Algeria,1997,23.4,102.0
Algeria,1998,23.2,77.5
Algeria,1999,23.4,105.9
Algeria,2000,23.3,65.5
Algeria,2001,23.5,74.0
Algeria,2002,23.4,77.9
Algeria,2003,23.5,117.3
Algeria,2004,23.3,106.0
Algeria,2005,23.2,80.6
Algeria,2006,23.5,101.0
Algeria,2007,23.3,99.3
Algeria,2008,23.2,90.7
Algeria,2009,23.5,102.4
Algeria,2010,23.7,103.3
Algeria,2011,23.5,107.1
Algeria,2012,23.5,94.3
Algeria,2013,23.2,99.8
Algeria,2014,23.6,84.2
Algeria,2015,23.5,86.8
Algeria,2016,23.7,75.0
Algeria,2017,23.5,85.1
Algeria,2018,23.2,103.9
Algeria,2019,23.4,86.7
Algeria,2020,23.5,66.9
Algeria,2021,23.6,66.8
Algeria,2022,23.8,61.4
Algeria,2023,23.8,66.1
Algeria,2024,24.0,64.2
Amsterdam Isl,1901,13.4,1041.0
Amsterdam Isl,1902,13.4,1041.0
Amsterdam Isl,1903,13.4,1041.0
Amsterdam Isl,1904,13.4,1041.0
Amsterdam Isl,1905,13.4,1041.0
Amsterdam Isl,1906,13.4,1041.0
Amsterdam Isl,1907,13.4,1041.0
Amsterdam Isl,1908,13.4,1041.0
Amsterdam Isl,1909,13.4,1041.0
Amsterdam Isl,1910,13.4,1041.0
Amsterdam Isl,1911,13.4,1041.0
Amsterdam Isl,1912,13.4,1041.0
Amsterdam Isl,1913,13.4,1041.0
Amsterdam Isl,1914,13.4,1041.0
Amsterdam Isl,1915,13.4,1041.0
Amsterdam Isl,1916,13.4,1041.0
Amsterdam Isl,1917,13.4,1041.0
Amsterdam Isl,1918,13.4,1041.0
Amsterdam Isl,1919,13.4,1041.0
Amsterdam Isl,1920,13.4,1041.0
Amsterdam Isl,1921,13.4,1041.0
Amsterdam Isl,1922,13.4,1041.0
Amsterdam Isl,1923,13.4,1041.0
